Plant Name,Date,SN,Port,Energy,Year,Microinversor
Wilkne,2021-12-25,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-25,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-25,116191966583,3,1.852,2021,Micro_04
Wilkne,2021-12-25,116191966583,4,1.832,2021,Micro_04
Wilkne,2021-12-31,106272403152,1,1.504,2021,Micro_01
Wilkne,2021-12-31,106272403152,2,1.501,2021,Micro_01
Wilkne,2021-12-31,106272403152,3,1.502,2021,Micro_01
Wilkne,2021-12-31,106272403152,4,1.506,2021,Micro_01
Wilkne,2021-12-31,106272403916,1,1.51,2021,Micro_02
Wilkne,2021-12-31,106272403916,2,1.504,2021,Micro_02
Wilkne,2021-12-31,106272403916,3,1.492,2021,Micro_02
Wilkne,2021-12-31,106272403916,4,1.515,2021,Micro_02
Wilkne,2021-12-31,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-31,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-31,116191966583,3,1.477,2021,Micro_04
Wilkne,2021-12-31,116191966583,4,1.462,2021,Micro_04
Wilkne,2021-12-19,106272403152,1,2.068,2021,Micro_01
Wilkne,2021-12-19,106272403152,2,2.055,2021,Micro_01
Wilkne,2021-12-19,106272403152,3,2.042,2021,Micro_01
Wilkne,2021-12-19,106272403152,4,2.059,2021,Micro_01
Wilkne,2021-12-19,106272403916,1,2.056,2021,Micro_02
Wilkne,2021-12-19,106272403916,2,2.062,2021,Micro_02
Wilkne,2021-12-19,106272403916,3,2.037,2021,Micro_02
Wilkne,2021-12-19,106272403916,4,2.071,2021,Micro_02
Wilkne,2021-12-19,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-19,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-19,116191966583,3,1.826,2021,Micro_04
Wilkne,2021-12-19,116191966583,4,1.808,2021,Micro_04
Wilkne,2021-12-18,106272403152,1,1.984,2021,Micro_01
Wilkne,2021-12-18,106272403152,2,1.976,2021,Micro_01
Wilkne,2021-12-18,106272403152,3,1.961,2021,Micro_01
Wilkne,2021-12-18,106272403152,4,1.981,2021,Micro_01
Wilkne,2021-12-18,106272403916,1,1.97,2021,Micro_02
Wilkne,2021-12-18,106272403916,2,1.983,2021,Micro_02
Wilkne,2021-12-18,106272403916,3,1.953,2021,Micro_02
Wilkne,2021-12-18,106272403916,4,1.995,2021,Micro_02
Wilkne,2021-12-18,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-18,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-18,116191966583,3,1.745,2021,Micro_04
Wilkne,2021-12-18,116191966583,4,1.736,2021,Micro_04
Wilkne,2021-12-30,106272403152,1,1.631,2021,Micro_01
Wilkne,2021-12-30,106272403152,2,1.628,2021,Micro_01
Wilkne,2021-12-30,106272403152,3,1.626,2021,Micro_01
Wilkne,2021-12-30,106272403152,4,1.633,2021,Micro_01
Wilkne,2021-12-30,106272403916,1,1.636,2021,Micro_02
Wilkne,2021-12-30,106272403916,2,1.635,2021,Micro_02
Wilkne,2021-12-30,106272403916,3,1.62,2021,Micro_02
Wilkne,2021-12-30,106272403916,4,1.647,2021,Micro_02
Wilkne,2021-12-30,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-30,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-30,116191966583,3,1.469,2021,Micro_04
Wilkne,2021-12-30,116191966583,4,1.457,2021,Micro_04
Wilkne,2021-12-24,106272403152,1,1.776,2021,Micro_01
Wilkne,2021-12-24,106272403152,2,1.766,2021,Micro_01
Wilkne,2021-12-24,106272403152,3,1.753,2021,Micro_01
Wilkne,2021-12-24,106272403152,4,1.766,2021,Micro_01
Wilkne,2021-12-24,106272403916,1,1.759,2021,Micro_02
Wilkne,2021-12-24,106272403916,2,1.763,2021,Micro_02
Wilkne,2021-12-24,106272403916,3,1.746,2021,Micro_02
Wilkne,2021-12-24,106272403916,4,1.775,2021,Micro_02
Wilkne,2021-12-24,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-24,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-24,116191966583,3,1.6,2021,Micro_04
Wilkne,2021-12-24,116191966583,4,1.578,2021,Micro_04
Wilkne,2021-12-08,106272403152,1,2.223,2021,Micro_01
Wilkne,2021-12-08,106272403152,2,2.224,2021,Micro_01
Wilkne,2021-12-08,106272403152,3,2.206,2021,Micro_01
Wilkne,2021-12-08,106272403152,4,2.224,2021,Micro_01
Wilkne,2021-12-08,106272403916,1,2.225,2021,Micro_02
Wilkne,2021-12-08,106272403916,2,2.231,2021,Micro_02
Wilkne,2021-12-08,106272403916,3,2.202,2021,Micro_02
Wilkne,2021-12-08,106272403916,4,2.232,2021,Micro_02
Wilkne,2021-12-08,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-08,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-08,116191966583,3,1.987,2021,Micro_04
Wilkne,2021-12-08,116191966583,4,1.983,2021,Micro_04
Wilkne,2021-12-20,106272403152,1,1.754,2021,Micro_01
Wilkne,2021-12-20,106272403152,2,1.742,2021,Micro_01
Wilkne,2021-12-20,106272403152,3,1.73,2021,Micro_01
Wilkne,2021-12-20,106272403152,4,1.746,2021,Micro_01
Wilkne,2021-12-20,106272403916,1,1.743,2021,Micro_02
Wilkne,2021-12-20,106272403916,2,1.746,2021,Micro_02
Wilkne,2021-12-20,106272403916,3,1.726,2021,Micro_02
Wilkne,2021-12-20,106272403916,4,1.753,2021,Micro_02
Wilkne,2021-12-20,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-20,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-20,116191966583,3,1.595,2021,Micro_04
Wilkne,2021-12-20,116191966583,4,1.574,2021,Micro_04
Wilkne,2021-12-21,106272403152,1,1.992,2021,Micro_01
Wilkne,2021-12-21,106272403152,2,1.978,2021,Micro_01
Wilkne,2021-12-21,106272403152,3,1.97,2021,Micro_01
Wilkne,2021-12-21,106272403152,4,1.99,2021,Micro_01
