Plant Name,Date,SN,Port,Energy,Year,Microinversor
Wilkne,2025-02-14,106272403152,4,2.577,2025,Micro_01
Wilkne,2025-02-14,106272403916,1,2.532,2025,Micro_02
Wilkne,2025-02-14,106272403916,2,2.531,2025,Micro_02
Wilkne,2025-02-14,106272403916,3,2.486,2025,Micro_02
Wilkne,2025-02-14,106272403916,4,2.566,2025,Micro_02
Wilkne,2025-02-14,106272404964,1,0.014,2025,Micro_03
Wilkne,2025-02-14,106272404964,2,2.473,2025,Micro_03
Wilkne,2025-02-14,106272404964,3,2.431,2025,Micro_03
Wilkne,2025-02-14,106272404964,4,2.483,2025,Micro_03
Wilkne,2025-02-28,106272403152,1,1.799,2025,Micro_01
Wilkne,2025-02-28,106272403152,2,1.802,2025,Micro_01
Wilkne,2025-02-28,106272403152,3,1.801,2025,Micro_01
Wilkne,2025-02-28,106272403152,4,1.817,2025,Micro_01
Wilkne,2025-02-28,106272403916,1,1.813,2025,Micro_02
Wilkne,2025-02-28,106272403916,2,1.8,2025,Micro_02
Wilkne,2025-02-28,106272403916,3,1.786,2025,Micro_02
Wilkne,2025-02-28,106272403916,4,1.826,2025,Micro_02
Wilkne,2025-02-28,106272404964,1,0.0,2025,Micro_03
Wilkne,2025-02-28,106272404964,2,0.0,2025,Micro_03
Wilkne,2025-02-28,106272404964,3,0.0,2025,Micro_03
Wilkne,2025-02-28,106272404964,4,0.0,2025,Micro_03
Wilkne,2025-01-22,106272403152,1,1.694,2025,Micro_01
Wilkne,2025-01-22,106272403152,2,1.7,2025,Micro_01
Wilkne,2025-01-22,106272403152,3,1.692,2025,Micro_01
Wilkne,2025-01-22,106272403152,4,1.708,2025,Micro_01
Wilkne,2025-01-22,106272403916,1,1.703,2025,Micro_02
Wilkne,2025-01-22,106272403916,2,1.7,2025,Micro_02
Wilkne,2025-01-22,106272403916,3,1.682,2025,Micro_02
Wilkne,2025-01-22,106272403916,4,1.723,2025,Micro_02
Wilkne,2025-01-22,106272404964,1,0.011,2025,Micro_03
Wilkne,2025-01-22,106272404964,2,1.488,2025,Micro_03
Wilkne,2025-01-22,106272404964,3,1.473,2025,Micro_03
Wilkne,2025-01-22,106272404964,4,1.489,2025,Micro_03
Wilkne,2025-01-23,106272403152,1,2.231,2025,Micro_01
Wilkne,2025-01-23,106272403152,2,2.23,2025,Micro_01
Wilkne,2025-01-23,106272403152,3,2.233,2025,Micro_01
Wilkne,2025-01-23,106272403152,4,2.261,2025,Micro_01
Wilkne,2025-01-23,106272403916,1,2.231,2025,Micro_02
Wilkne,2025-01-23,106272403916,2,2.23,2025,Micro_02
Wilkne,2025-01-23,106272403916,3,2.189,2025,Micro_02
Wilkne,2025-01-23,106272403916,4,2.256,2025,Micro_02
Wilkne,2025-01-23,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-01-23,106272404964,2,2.197,2025,Micro_03
Wilkne,2025-01-23,106272404964,3,2.149,2025,Micro_03
Wilkne,2025-01-23,106272404964,4,2.189,2025,Micro_03
Wilkne,2025-01-09,106272403152,1,2.044,2025,Micro_01
Wilkne,2025-01-09,106272403152,2,2.051,2025,Micro_01
Wilkne,2025-01-09,106272403152,3,2.057,2025,Micro_01
Wilkne,2025-01-09,106272403152,4,2.075,2025,Micro_01
Wilkne,2025-01-09,106272403916,1,2.074,2025,Micro_02
Wilkne,2025-01-09,106272403916,2,2.065,2025,Micro_02
Wilkne,2025-01-09,106272403916,3,2.037,2025,Micro_02
Wilkne,2025-01-09,106272403916,4,2.075,2025,Micro_02
Wilkne,2025-01-09,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-01-09,106272404964,2,2.011,2025,Micro_03
Wilkne,2025-01-09,106272404964,3,1.988,2025,Micro_03
Wilkne,2025-01-09,106272404964,4,2.014,2025,Micro_03
Wilkne,2025-01-21,106272403152,1,2.361,2025,Micro_01
Wilkne,2025-01-21,106272403152,2,2.351,2025,Micro_01
Wilkne,2025-01-21,106272403152,3,2.353,2025,Micro_01
Wilkne,2025-01-21,106272403152,4,2.382,2025,Micro_01
Wilkne,2025-01-21,106272403916,1,2.315,2025,Micro_02
Wilkne,2025-01-21,106272403916,2,2.318,2025,Micro_02
Wilkne,2025-01-21,106272403916,3,2.265,2025,Micro_02
Wilkne,2025-01-21,106272403916,4,2.36,2025,Micro_02
Wilkne,2025-01-21,106272404964,1,0.014,2025,Micro_03
Wilkne,2025-01-21,106272404964,2,2.299,2025,Micro_03
Wilkne,2025-01-21,106272404964,3,2.254,2025,Micro_03
Wilkne,2025-01-21,106272404964,4,2.3,2025,Micro_03
Wilkne,2025-01-20,106272403152,1,1.991,2025,Micro_01
Wilkne,2025-01-20,106272403152,2,1.993,2025,Micro_01
Wilkne,2025-01-20,106272403152,3,1.993,2025,Micro_01
Wilkne,2025-01-20,106272403152,4,2.007,2025,Micro_01
Wilkne,2025-01-20,106272403916,1,1.959,2025,Micro_02
Wilkne,2025-01-20,106272403916,2,1.954,2025,Micro_02
Wilkne,2025-01-20,106272403916,3,1.919,2025,Micro_02
Wilkne,2025-01-20,106272403916,4,1.985,2025,Micro_02
Wilkne,2025-01-20,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-01-20,106272404964,2,1.981,2025,Micro_03
Wilkne,2025-01-20,106272404964,3,1.945,2025,Micro_03
Wilkne,2025-01-20,106272404964,4,1.972,2025,Micro_03
Wilkne,2025-01-08,106272403152,1,2.22,2025,Micro_01
Wilkne,2025-01-08,106272403152,2,2.226,2025,Micro_01
Wilkne,2025-01-08,106272403152,3,2.229,2025,Micro_01
Wilkne,2025-01-08,106272403152,4,2.246,2025,Micro_01
Wilkne,2025-01-08,106272403916,1,2.245,2025,Micro_02
Wilkne,2025-01-08,106272403916,2,2.236,2025,Micro_02
Wilkne,2025-01-08,106272403916,3,2.209,2025,Micro_02
Wilkne,2025-01-08,106272403916,4,2.251,2025,Micro_02
Wilkne,2025-01-08,106272404964,1,0.012,2025,Micro_03
Wilkne,2025-01-08,106272404964,2,2.05,2025,Micro_03
Wilkne,2025-01-08,106272404964,3,2.026,2025,Micro_03
Wilkne,2025-01-08,106272404964,4,2.05,2025,Micro_03
Wilkne,2025-01-30,106272403152,1,2.325,2025,Micro_01
Wilkne,2025-01-30,106272403152,2,2.323,2025,Micro_01
Wilkne,2025-01-30,106272403152,3,2.315,2025,Micro_01
Wilkne,2025-01-30,106272403152,4,2.347,2025,Micro_01
Wilkne,2025-01-30,106272403916,1,2.305,2025,Micro_02
Wilkne,2025-01-30,106272403916,2,2.311,2025,Micro_02
Wilkne,2025-01-30,106272403916,3,2.271,2025,Micro_02
Wilkne,2025-01-30,106272403916,4,2.346,2025,Micro_02
Wilkne,2025-01-30,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-01-30,106272404964,2,2.106,2025,Micro_03
Wilkne,2025-01-30,106272404964,3,2.075,2025,Micro_03
Wilkne,2025-01-30,106272404964,4,2.11,2025,Micro_03
