Plant Name,Date,Sn,Port,Energy (kWh),ID,SN,Microinversor
Wilkne,2024-08-06,,3,2.126,111.0,106272403152.0,Microinversor_2
Wilkne,2024-08-06,,4,2.142,112.0,106272403152.0,Microinversor_2
Wilkne,2024-08-06,,1,2.125,113.0,106272403916.0,Microinversor_3
Wilkne,2024-08-06,,2,2.12,114.0,106272403916.0,Microinversor_3
Wilkne,2024-08-06,,3,2.116,115.0,106272403916.0,Microinversor_3
Wilkne,2024-08-06,,4,2.165,116.0,106272403916.0,Microinversor_3
Wilkne,2024-08-06,,1,0.012,117.0,106272404964.0,Microinversor_4
Wilkne,2024-08-06,,2,2.355,118.0,106272404964.0,Microinversor_4
Wilkne,2024-08-06,,3,2.348,119.0,106272404964.0,Microinversor_4
Wilkne,2024-08-06,,4,2.404,120.0,106272404964.0,Microinversor_4
Wilkne,2024-01-22,,1,1.686,121.0,106272403152.0,Microinversor_2
Wilkne,2024-01-22,,2,1.694,122.0,106272403152.0,Microinversor_2
Wilkne,2024-01-22,,3,1.696,123.0,106272403152.0,Microinversor_2
Wilkne,2024-01-22,,4,1.711,124.0,106272403152.0,Microinversor_2
Wilkne,2024-01-22,,1,1.699,125.0,106272403916.0,Microinversor_3
Wilkne,2024-01-22,,2,1.695,126.0,106272403916.0,Microinversor_3
Wilkne,2024-01-22,,3,1.671,127.0,106272403916.0,Microinversor_3
Wilkne,2024-01-22,,4,1.71,128.0,106272403916.0,Microinversor_3
Wilkne,2024-01-22,,1,0.012,129.0,106272404964.0,Microinversor_4
Wilkne,2024-01-22,,2,1.702,130.0,106272404964.0,Microinversor_4
Wilkne,2024-01-22,,3,1.674,131.0,106272404964.0,Microinversor_4
Wilkne,2024-01-22,,4,1.691,132.0,106272404964.0,Microinversor_4
Wilkne,2024-08-12,,1,1.959,133.0,106272403152.0,Microinversor_2
Wilkne,2024-08-12,,2,1.94,134.0,106272403152.0,Microinversor_2
Wilkne,2024-08-12,,3,1.936,135.0,106272403152.0,Microinversor_2
Wilkne,2024-08-12,,4,1.952,136.0,106272403152.0,Microinversor_2
Wilkne,2024-08-12,,1,1.939,137.0,106272403916.0,Microinversor_3
Wilkne,2024-08-12,,2,1.935,138.0,106272403916.0,Microinversor_3
Wilkne,2024-08-12,,3,1.929,139.0,106272403916.0,Microinversor_3
Wilkne,2024-08-12,,4,1.976,140.0,106272403916.0,Microinversor_3
Wilkne,2024-08-12,,1,0.013,141.0,106272404964.0,Microinversor_4
Wilkne,2024-08-12,,2,2.145,142.0,106272404964.0,Microinversor_4
Wilkne,2024-08-12,,3,2.132,143.0,106272404964.0,Microinversor_4
Wilkne,2024-08-12,,4,2.183,144.0,106272404964.0,Microinversor_4
Wilkne,2024-06-17,,1,1.616,145.0,106272403152.0,Microinversor_2
Wilkne,2024-06-17,,2,1.623,146.0,106272403152.0,Microinversor_2
Wilkne,2024-06-17,,3,1.614,147.0,106272403152.0,Microinversor_2
Wilkne,2024-06-17,,4,1.622,148.0,106272403152.0,Microinversor_2
Wilkne,2024-06-17,,1,1.626,149.0,106272403916.0,Microinversor_3
Wilkne,2024-06-17,,2,1.614,150.0,106272403916.0,Microinversor_3
Wilkne,2024-06-17,,3,1.609,151.0,106272403916.0,Microinversor_3
Wilkne,2024-06-17,,4,1.637,152.0,106272403916.0,Microinversor_3
Wilkne,2024-06-17,,1,0.011,153.0,106272404964.0,Microinversor_4
Wilkne,2024-06-17,,2,1.763,154.0,106272404964.0,Microinversor_4
Wilkne,2024-06-17,,3,1.775,155.0,106272404964.0,Microinversor_4
Wilkne,2024-06-17,,4,1.796,156.0,106272404964.0,Microinversor_4
Wilkne,2024-06-03,,1,1.87,157.0,106272403152.0,Microinversor_2
Wilkne,2024-06-03,,2,1.872,158.0,106272403152.0,Microinversor_2
Wilkne,2024-06-03,,3,1.856,159.0,106272403152.0,Microinversor_2
Wilkne,2024-06-03,,4,1.867,160.0,106272403152.0,Microinversor_2
Wilkne,2024-06-03,,1,1.871,161.0,106272403916.0,Microinversor_3
Wilkne,2024-06-03,,2,1.864,162.0,106272403916.0,Microinversor_3
Wilkne,2024-06-03,,3,1.859,163.0,106272403916.0,Microinversor_3
Wilkne,2024-06-03,,4,1.891,164.0,106272403916.0,Microinversor_3
Wilkne,2024-06-03,,1,0.012,165.0,106272404964.0,Microinversor_4
Wilkne,2024-06-03,,2,1.991,166.0,106272404964.0,Microinversor_4
Wilkne,2024-06-03,,3,1.994,167.0,106272404964.0,Microinversor_4
Wilkne,2024-06-03,,4,2.024,168.0,106272404964.0,Microinversor_4
Wilkne,2023-12-06,,1,2.393,169.0,106272403152.0,Microinversor_2
Wilkne,2023-12-06,,2,2.394,170.0,106272403152.0,Microinversor_2
Wilkne,2023-12-06,,3,2.394,171.0,106272403152.0,Microinversor_2
Wilkne,2023-12-06,,4,2.43,172.0,106272403152.0,Microinversor_2
Wilkne,2023-12-06,,1,2.417,173.0,106272403916.0,Microinversor_3
Wilkne,2023-12-06,,2,2.416,174.0,106272403916.0,Microinversor_3
Wilkne,2023-12-06,,3,2.377,175.0,106272403916.0,Microinversor_3
Wilkne,2023-12-06,,4,2.435,176.0,106272403916.0,Microinversor_3
Wilkne,2023-12-06,,1,0.013,177.0,116191966583.0,Microinversor_5
Wilkne,2023-12-06,,2,2.239,178.0,116191966583.0,Microinversor_5
Wilkne,2023-12-06,,3,2.194,179.0,116191966583.0,Microinversor_5
Wilkne,2023-12-06,,4,2.225,180.0,116191966583.0,Microinversor_5
Wilkne,2023-12-12,,1,2.486,181.0,106272403152.0,Microinversor_2
Wilkne,2023-12-12,,2,2.509,182.0,106272403152.0,Microinversor_2
Wilkne,2023-12-12,,3,2.512,183.0,106272403152.0,Microinversor_2
Wilkne,2023-12-12,,4,2.548,184.0,106272403152.0,Microinversor_2
Wilkne,2023-12-12,,1,2.531,185.0,106272403916.0,Microinversor_3
Wilkne,2023-12-12,,2,2.524,186.0,106272403916.0,Microinversor_3
Wilkne,2023-12-12,,3,2.486,187.0,106272403916.0,Microinversor_3
Wilkne,2023-12-12,,4,2.547,188.0,106272403916.0,Microinversor_3
Wilkne,2023-12-12,,1,0.013,189.0,116191966583.0,Microinversor_5
Wilkne,2023-12-12,,2,2.26,190.0,116191966583.0,Microinversor_5
Wilkne,2023-12-12,,3,2.218,191.0,116191966583.0,Microinversor_5
Wilkne,2023-12-12,,4,2.245,192.0,116191966583.0,Microinversor_5
Wilkne,2024-03-27,,1,0.876,193.0,106272403152.0,Microinversor_2
Wilkne,2024-03-27,,2,0.885,194.0,106272403152.0,Microinversor_2
Wilkne,2024-03-27,,3,0.884,195.0,106272403152.0,Microinversor_2
Wilkne,2024-03-27,,4,0.892,196.0,106272403152.0,Microinversor_2
Wilkne,2024-03-27,,1,0.888,197.0,106272403916.0,Microinversor_3
Wilkne,2024-03-27,,2,0.883,198.0,106272403916.0,Microinversor_3
Wilkne,2024-03-27,,3,0.874,199.0,106272403916.0,Microinversor_3
Wilkne,2024-03-27,,4,0.891,200.0,106272403916.0,Microinversor_3
Wilkne,2024-03-27,,1,0.01,201.0,106272404964.0,Microinversor_4
Wilkne,2024-03-27,,2,0.925,202.0,106272404964.0,Microinversor_4
Wilkne,2024-03-27,,3,0.939,203.0,106272404964.0,Microinversor_4
Wilkne,2024-03-27,,4,0.939,204.0,106272404964.0,Microinversor_4
Wilkne,2025-02-10,,1,2.243,205.0,106272403152.0,Microinversor_2
Wilkne,2025-02-10,,2,2.236,206.0,106272403152.0,Microinversor_2
Wilkne,2025-02-10,,3,2.228,207.0,106272403152.0,Microinversor_2
Wilkne,2025-02-10,,4,2.247,208.0,106272403152.0,Microinversor_2
Wilkne,2025-02-10,,1,2.251,209.0,106272403916.0,Microinversor_3
Wilkne,2025-02-10,,2,2.24,210.0,106272403916.0,Microinversor_3
Wilkne,2025-02-10,,3,2.222,211.0,106272403916.0,Microinversor_3
Wilkne,2025-02-10,,4,2.274,212.0,106272403916.0,Microinversor_3
Wilkne,2025-02-10,,1,0.012,213.0,106272404964.0,Microinversor_4
Wilkne,2025-02-10,,2,2.046,214.0,106272404964.0,Microinversor_4
Wilkne,2025-02-10,,3,2.027,215.0,106272404964.0,Microinversor_4
Wilkne,2025-02-10,,4,2.059,216.0,106272404964.0,Microinversor_4
Wilkne,2025-02-04,,1,2.202,217.0,106272403152.0,Microinversor_2
Wilkne,2025-02-04,,2,2.19,218.0,106272403152.0,Microinversor_2
Wilkne,2025-02-04,,3,2.18,219.0,106272403152.0,Microinversor_2
Wilkne,2025-02-04,,4,2.212,220.0,106272403152.0,Microinversor_2
Wilkne,2025-02-04,,1,2.209,221.0,106272403916.0,Microinversor_3
Wilkne,2025-02-04,,2,2.199,222.0,106272403916.0,Microinversor_3
Wilkne,2025-02-04,,3,2.174,223.0,106272403916.0,Microinversor_3
Wilkne,2025-02-04,,4,2.236,224.0,106272403916.0,Microinversor_3
Wilkne,2025-02-04,,1,0.012,225.0,106272404964.0,Microinversor_4
Wilkne,2025-02-04,,2,2.133,226.0,106272404964.0,Microinversor_4
Wilkne,2025-02-04,,3,2.096,227.0,106272404964.0,Microinversor_4
Wilkne,2025-02-04,,4,2.139,228.0,106272404964.0,Microinversor_4
Wilkne,2024-04-12,,1,1.881,229.0,106272403152.0,Microinversor_2
Wilkne,2024-04-12,,2,1.883,230.0,106272403152.0,Microinversor_2
Wilkne,2024-04-12,,3,1.883,231.0,106272403152.0,Microinversor_2
Wilkne,2024-04-12,,4,1.904,232.0,106272403152.0,Microinversor_2
Wilkne,2024-04-12,,1,1.903,233.0,106272403916.0,Microinversor_3
Wilkne,2024-04-12,,2,1.9,234.0,106272403916.0,Microinversor_3
Wilkne,2024-04-12,,3,1.873,235.0,106272403916.0,Microinversor_3
Wilkne,2024-04-12,,4,1.917,236.0,106272403916.0,Microinversor_3
Wilkne,2024-04-12,,1,0.013,237.0,106272404964.0,Microinversor_4
Wilkne,2024-04-12,,2,2.043,238.0,106272404964.0,Microinversor_4
Wilkne,2024-04-12,,3,1.97,239.0,106272404964.0,Microinversor_4
Wilkne,2024-04-12,,4,2.034,240.0,106272404964.0,Microinversor_4
Wilkne,2024-04-06,,1,2.04,241.0,106272403152.0,Microinversor_2
Wilkne,2024-04-06,,2,2.04,242.0,106272403152.0,Microinversor_2
Wilkne,2024-04-06,,3,2.041,243.0,106272403152.0,Microinversor_2
Wilkne,2024-04-06,,4,2.062,244.0,106272403152.0,Microinversor_2
Wilkne,2024-04-06,,1,2.059,245.0,106272403916.0,Microinversor_3
Wilkne,2024-04-06,,2,2.052,246.0,106272403916.0,Microinversor_3
Wilkne,2024-04-06,,3,2.027,247.0,106272403916.0,Microinversor_3
Wilkne,2024-04-06,,4,2.074,248.0,106272403916.0,Microinversor_3
Wilkne,2024-04-06,,1,0.013,249.0,106272404964.0,Microinversor_4
Wilkne,2024-04-06,,2,2.182,250.0,106272404964.0,Microinversor_4
Wilkne,2024-04-06,,3,2.141,251.0,106272404964.0,Microinversor_4
Wilkne,2024-04-06,,4,2.193,252.0,106272404964.0,Microinversor_4
Wilkne,2022-11-08,,1,2.293,253.0,106272403152.0,Microinversor_2
Wilkne,2022-11-08,,2,2.301,254.0,106272403152.0,Microinversor_2
Wilkne,2022-11-08,,3,2.304,255.0,106272403152.0,Microinversor_2
Wilkne,2022-11-08,,4,2.325,256.0,106272403152.0,Microinversor_2
Wilkne,2022-11-08,,1,2.32,257.0,106272403916.0,Microinversor_3
Wilkne,2022-11-08,,2,2.331,258.0,106272403916.0,Microinversor_3
Wilkne,2022-11-08,,3,2.283,259.0,106272403916.0,Microinversor_3
Wilkne,2022-11-08,,4,2.34,260.0,106272403916.0,Microinversor_3
Wilkne,2022-11-08,,1,0.0,261.0,116191966583.0,Microinversor_5
Wilkne,2022-11-08,,2,0.0,262.0,116191966583.0,Microinversor_5
Wilkne,2022-11-08,,3,2.251,263.0,116191966583.0,Microinversor_5
Wilkne,2022-11-08,,4,2.274,264.0,116191966583.0,Microinversor_5
Wilkne,2023-10-03,,1,2.234,265.0,106272403152.0,Microinversor_2
Wilkne,2023-10-03,,2,2.22,266.0,106272403152.0,Microinversor_2
Wilkne,2023-10-03,,3,2.221,267.0,106272403152.0,Microinversor_2
Wilkne,2023-10-03,,4,2.255,268.0,106272403152.0,Microinversor_2
Wilkne,2023-10-03,,1,2.216,269.0,106272403916.0,Microinversor_3
Wilkne,2023-10-03,,2,2.219,270.0,106272403916.0,Microinversor_3
Wilkne,2023-10-03,,3,2.183,271.0,106272403916.0,Microinversor_3
Wilkne,2023-10-03,,4,2.234,272.0,106272403916.0,Microinversor_3
Wilkne,2023-10-03,,1,0.013,273.0,116191966583.0,Microinversor_5
Wilkne,2023-10-03,,2,2.255,274.0,116191966583.0,Microinversor_5
Wilkne,2023-10-03,,3,2.214,275.0,116191966583.0,Microinversor_5
Wilkne,2023-10-03,,4,2.232,276.0,116191966583.0,Microinversor_5
Wilkne,2023-10-17,,1,2.308,277.0,106272403152.0,Microinversor_2
Wilkne,2023-10-17,,2,2.274,278.0,106272403152.0,Microinversor_2
Wilkne,2023-10-17,,3,2.27,279.0,106272403152.0,Microinversor_2
Wilkne,2023-10-17,,4,2.306,280.0,106272403152.0,Microinversor_2
Wilkne,2023-10-17,,1,2.267,281.0,106272403916.0,Microinversor_3
Wilkne,2023-10-17,,2,2.266,282.0,106272403916.0,Microinversor_3
Wilkne,2023-10-17,,3,2.242,283.0,106272403916.0,Microinversor_3
Wilkne,2023-10-17,,4,2.308,284.0,106272403916.0,Microinversor_3
Wilkne,2023-10-17,,1,0.012,285.0,116191966583.0,Microinversor_5
Wilkne,2023-10-17,,2,2.249,286.0,116191966583.0,Microinversor_5
Wilkne,2023-10-17,,3,2.222,287.0,116191966583.0,Microinversor_5
Wilkne,2023-10-17,,4,2.244,288.0,116191966583.0,Microinversor_5
